"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C55_5","SMD_0805_CAPC2012X145N","-15.9749mm","45.4999mm","-15.9749mm","45.4999mm","-15.9749mm","46.3999mm","T","270.00","22uF/6.3V"
"U20","SMD_TO229P991X239-4AN_DPAK","4.5mm","73.135mm","5.4mm","73.135mm","1.25mm","75.425mm","T","360.00","L78M05CDT-TR"
"U1_5","SMD_SOP65P490X110-9N_-_DUAL","-26.2498mm","46.25mm","-26.2498mm","46.25mm","-26.9248mm","44.85mm","T","90.00","LTC 4449"
"D7","SMD_0805_LED2012X100N","28.25mm","73.9mm","28.25mm","73.9mm","27.2mm","73.9mm","T","360.00","Orange 	SML210DT ROHM"
"D6","SMD_0805_LED2012X100N","28.25mm","72mm","28.25mm","72mm","27.2mm","72mm","T","360.00","Yellow SML210YT ROHM"
"D4","SMD_0805_LED2012X100N","21.7915mm","70.335mm","21.7915mm","70.335mm","20.7415mm","70.335mm","T","360.00","Red SML210VT ROHM"
"D5","SMD_0805_LED2012X100N","18.155mm","68.3079mm","18.155mm","68.3079mm","18.155mm","67.2579mm","T","90.00","Green 	SML210MT ROHM"
"U1_6","SMD_SOP65P490X110-9N_-_DUAL","-26.2497mm","66.2499mm","-26.2497mm","66.2499mm","-26.9247mm","64.8499mm","T","90.00","LTC 4449"
"R60","SMD_1206_RESC3216X180N","18mm","72.5mm","18mm","72.5mm","18mm","71mm","T","90.00","0"
"R59","SMD_0603_RESC1608X55N","20.5mm","57mm","20.5mm","57mm","19.7mm","57mm","T","360.00","10k"
"Q3_6","SMD_SON127P615X520X100-8N","-17.75mm","59.25mm","-17.75mm","59.25mm","-15.845mm","62mm","T","270.00","AP1RA03GMT-3"
"Q2_6","SMD_SON127P615X520X100-8N","-23.9998mm","59.25mm","-23.9998mm","59.25mm","-22.0948mm","62mm","T","270.00","AP1RA03GMT-3"
"Q1_6","SMD_SON127P615X520X100-8N","-30.8823mm","59.0251mm","-30.8823mm","59.0251mm","-28.1323mm","57.1201mm","T","180.00","AP1RA03GMT-3"
"L1_6","SMD_INDM12501250X800A_-_Coilcraft_SLC1480","-7.9749mm","62.9999mm","-7.9749mm","62.9999mm","-7.9749mm","58.0249mm","T","90.00","SLC1480-201MLD"
"C3_6","SMD_0805_CAPC2012X145N","-29.3823mm","66.0251mm","-29.3823mm","66.0251mm","-29.3823mm","66.9251mm","T","270.00","100nF/50V"
"C2_6","SMD_0805_CAPC2012X145N","-25.3622mm","73mm","-25.3622mm","73mm","-25.3622mm","72.1mm","T","90.00","1uF/16V"
"C1_6","SMD_0805_CAPC2012X145N","-28.25mm","74.0998mm","-28.25mm","74.0998mm","-29.15mm","74.0998mm","T","360.00","10uF/16V"
"C46_5","SMD_0805_CAPC2012X145N","-16.25mm","53.025mm","-16.25mm","53.025mm","-16.25mm","52.125mm","T","90.00","22uF/6.3V"
"C47_5","SMD_0805_CAPC2012X145N","-14.25mm","53.025mm","-14.25mm","53.025mm","-14.25mm","52.125mm","T","90.00","22uF/6.3V"
"C49_5","SMD_0805_CAPC2012X145N","-10.25mm","53mm","-10.25mm","53mm","-10.25mm","52.1mm","T","90.00","22uF/6.3V"
